Algorithm,Trials,WallTimeMedianSeconds,WallTimeQ1Seconds,WallTimeQ3Seconds,CoreTimeMedianSeconds,CoreTimeQ1Seconds,CoreTimeQ3Seconds,WallFPSMedian,WallFPSQ1,WallFPSQ3,CoreFPSMedian,CoreFPSQ1,CoreFPSQ3
OLSTEC_80,50,10.5685736,10.47287975,10.64918605,10.29793,10.2138043,10.377265075,56.9613296938049,56.530147606462,57.4818161028433,58.4583514584675,58.0114336796566,58.9398541318075
RSI_OLSTEC,50,17.604061,17.364503175,17.867342025,17.33346655,17.106624225,17.59590315,34.1966558753797,33.6927611788964,34.6684264720783,34.730513618591,34.2125095065024,35.1910481032975
