Algorithm,Trials,WallTimeMedianSeconds,WallTimeQ1Seconds,WallTimeQ3Seconds,CoreTimeMedianSeconds,CoreTimeQ1Seconds,CoreTimeQ3Seconds,WallFPSMedian,WallFPSQ1,WallFPSQ3,CoreFPSMedian,CoreFPSQ1,CoreFPSQ3,MeanPriorIRLSIterations,MeanPosteriorIRLSIterations
Squared-loss control,50,3.46015225,3.4278719,3.485090625,3.4194035,3.38790855,3.44475055,144.502389081744,143.46830894141,145.863094377214,146.224406431526,145.148405678742,147.583677742423,1,1
Huber-IRLS variant,50,3.5751252,3.5575269,3.592787025,3.53468115,3.51721065,3.55259635,139.855246847486,139.167726418372,140.547078822082,141.455475247107,140.742136883937,142.158106075963,2.0282,2.01552
